"Rank","Name","Country","D_Score","E_Score","Penalty","Score","Round","Date","Apparatus","Gender","Competition"
20,"Kim Soo-myun","South Korea",NA,NA,NA,14.966,"AAfinal",2012-08-01,"HB","m","Olympic Games"
20,"Kim Soo-myun","South Korea",NA,NA,NA,85.773,"final",2012-08-01,"AA","m","Olympic Games"
21,"Jimmy Verbaeys","Belgium",NA,NA,NA,13.933,"AAfinal",2012-08-01,"FX","m","Olympic Games"
21,"Jimmy Verbaeys","Belgium",NA,NA,NA,14.033,"AAfinal",2012-08-01,"PH","m","Olympic Games"
21,"Jimmy Verbaeys","Belgium",NA,NA,NA,14,"AAfinal",2012-08-01,"SR","m","Olympic Games"
21,"Jimmy Verbaeys","Belgium",NA,NA,NA,15.266,"AAfinal",2012-08-01,"VT","m","Olympic Games"
21,"Jimmy Verbaeys","Belgium",NA,NA,NA,14.833,"AAfinal",2012-08-01,"PB","m","Olympic Games"
21,"Jimmy Verbaeys","Belgium",NA,NA,NA,13.166,"AAfinal",2012-08-01,"HB","m","Olympic Games"
21,"Jimmy Verbaeys","Belgium",NA,NA,NA,85.231,"final",2012-08-01,"AA","m","Olympic Games"
22,"Paolo Ottavi","Italy",NA,NA,NA,12.466,"AAfinal",2012-08-01,"FX","m","Olympic Games"
22,"Paolo Ottavi","Italy",NA,NA,NA,14.033,"AAfinal",2012-08-01,"PH","m","Olympic Games"
22,"Paolo Ottavi","Italy",NA,NA,NA,15.016,"AAfinal",2012-08-01,"SR","m","Olympic Games"
22,"Paolo Ottavi","Italy",NA,NA,NA,15,"AAfinal",2012-08-01,"VT","m","Olympic Games"
22,"Paolo Ottavi","Italy",NA,NA,NA,14.1,"AAfinal",2012-08-01,"PB","m","Olympic Games"
22,"Paolo Ottavi","Italy",NA,NA,NA,14.033,"AAfinal",2012-08-01,"HB","m","Olympic Games"
22,"Paolo Ottavi","Italy",NA,NA,NA,84.648,"final",2012-08-01,"AA","m","Olympic Games"
23,"Javier Gómez Fuertes","Spain",NA,NA,NA,14.266,"AAfinal",2012-08-01,"FX","m","Olympic Games"
23,"Javier Gómez Fuertes","Spain",NA,NA,NA,12.433,"AAfinal",2012-08-01,"PH","m","Olympic Games"
23,"Javier Gómez Fuertes","Spain",NA,NA,NA,14.8,"AAfinal",2012-08-01,"SR","m","Olympic Games"
23,"Javier Gómez Fuertes","Spain",NA,NA,NA,15.466,"AAfinal",2012-08-01,"VT","m","Olympic Games"
23,"Javier Gómez Fuertes","Spain",NA,NA,NA,14.733,"AAfinal",2012-08-01,"PB","m","Olympic Games"
23,"Javier Gómez Fuertes","Spain",NA,NA,NA,12.733,"AAfinal",2012-08-01,"HB","m","Olympic Games"
23,"Javier Gómez Fuertes","Spain",NA,NA,NA,84.431,"final",2012-08-01,"AA","m","Olympic Games"
24,"Roman Kulesza","Poland",NA,NA,NA,13.866,"AAfinal",2012-08-01,"FX","m","Olympic Games"
24,"Roman Kulesza","Poland",NA,NA,NA,13,"AAfinal",2012-08-01,"PH","m","Olympic Games"
24,"Roman Kulesza","Poland",NA,NA,NA,13.866,"AAfinal",2012-08-01,"SR","m","Olympic Games"
24,"Roman Kulesza","Poland",NA,NA,NA,14.4,"AAfinal",2012-08-01,"VT","m","Olympic Games"
24,"Roman Kulesza","Poland",NA,NA,NA,15.1,"AAfinal",2012-08-01,"PB","m","Olympic Games"
24,"Roman Kulesza","Poland",NA,NA,NA,13.933,"AAfinal",2012-08-01,"HB","m","Olympic Games"
24,"Roman Kulesza","Poland",NA,NA,NA,84.165,"final",2012-08-01,"AA","m","Olympic Games"
1,"Viktoria Komova","Russia",NA,NA,NA,13.9,"AAqual",2012-08-02,"FX","w","Olympic Games"
1,"Viktoria Komova","Russia",NA,NA,NA,15.633,"AAqual",2012-08-02,"VT","w","Olympic Games"
1,"Viktoria Komova","Russia",NA,NA,NA,15.833,"AAqual",2012-08-02,"UB","w","Olympic Games"
1,"Viktoria Komova","Russia",NA,NA,NA,15.266,"AAqual",2012-08-02,"BB","w","Olympic Games"
1,"Viktoria Komova","Russia",NA,NA,NA,60.632,"qual",2012-08-02,"AA","w","Olympic Games"
2,"Aly Raisman","United States",NA,NA,NA,15.325,"AAqual",2012-08-02,"FX","w","Olympic Games"
2,"Aly Raisman","United States",NA,NA,NA,15.8,"AAqual",2012-08-02,"VT","w","Olympic Games"
2,"Aly Raisman","United States",NA,NA,NA,14.166,"AAqual",2012-08-02,"UB","w","Olympic Games"
2,"Aly Raisman","United States",NA,NA,NA,15.1,"AAqual",2012-08-02,"BB","w","Olympic Games"
2,"Aly Raisman","United States",NA,NA,NA,60.391,"qual",2012-08-02,"AA","w","Olympic Games"
3,"Gabby Douglas","United States",NA,NA,NA,13.766,"AAqual",2012-08-02,"FX","w","Olympic Games"
3,"Gabby Douglas","United States",NA,NA,NA,15.9,"AAqual",2012-08-02,"VT","w","Olympic Games"
3,"Gabby Douglas","United States",NA,NA,NA,15.333,"AAqual",2012-08-02,"UB","w","Olympic Games"
3,"Gabby Douglas","United States",NA,NA,NA,15.266,"AAqual",2012-08-02,"BB","w","Olympic Games"
3,"Gabby Douglas","United States",NA,NA,NA,60.265,"qual",2012-08-02,"AA","w","Olympic Games"
4,"Aliya Mustafina","Russia",NA,NA,NA,14.433,"AAqual",2012-08-02,"FX","w","Olympic Games"
4,"Aliya Mustafina","Russia",NA,NA,NA,15.133,"AAqual",2012-08-02,"VT","w","Olympic Games"
4,"Aliya Mustafina","Russia",NA,NA,NA,15.7,"AAqual",2012-08-02,"UB","w","Olympic Games"
4,"Aliya Mustafina","Russia",NA,NA,NA,14.7,"AAqual",2012-08-02,"BB","w","Olympic Games"
4,"Aliya Mustafina","Russia",NA,NA,NA,59.966,"qual",2012-08-02,"AA","w","Olympic Games"
5,"Deng Linlin","China",NA,NA,NA,13.833,"AAqual",2012-08-02,"FX","w","Olympic Games"
5,"Deng Linlin","China",NA,NA,NA,14.833,"AAqual",2012-08-02,"VT","w","Olympic Games"
5,"Deng Linlin","China",NA,NA,NA,14.166,"AAqual",2012-08-02,"UB","w","Olympic Games"
5,"Deng Linlin","China",NA,NA,NA,15.166,"AAqual",2012-08-02,"BB","w","Olympic Games"
5,"Deng Linlin","China",NA,NA,NA,57.998,"qual",2012-08-02,"AA","w","Olympic Games"
6,"Vanessa Ferrari","Italy",NA,NA,NA,14.9,"AAqual",2012-08-02,"FX","w","Olympic Games"
6,"Vanessa Ferrari","Italy",NA,NA,NA,14.366,"AAqual",2012-08-02,"VT","w","Olympic Games"
6,"Vanessa Ferrari","Italy",NA,NA,NA,14.233,"AAqual",2012-08-02,"UB","w","Olympic Games"
6,"Vanessa Ferrari","Italy",NA,NA,NA,14.433,"AAqual",2012-08-02,"BB","w","Olympic Games"
6,"Vanessa Ferrari","Italy",NA,NA,NA,57.932,"qual",2012-08-02,"AA","w","Olympic Games"
7,"Asuka Teramoto","Japan",NA,NA,NA,14.233,"AAqual",2012-08-02,"FX","w","Olympic Games"
7,"Asuka Teramoto","Japan",NA,NA,NA,14.6,"AAqual",2012-08-02,"VT","w","Olympic Games"
7,"Asuka Teramoto","Japan",NA,NA,NA,14.566,"AAqual",2012-08-02,"UB","w","Olympic Games"
7,"Asuka Teramoto","Japan",NA,NA,NA,14.466,"AAqual",2012-08-02,"BB","w","Olympic Games"
7,"Asuka Teramoto","Japan",NA,NA,NA,57.865,"qual",2012-08-02,"AA","w","Olympic Games"
8,"Larisa Iordache","Romania",NA,NA,NA,13.8,"AAqual",2012-08-02,"FX","w","Olympic Games"
8,"Larisa Iordache","Romania",NA,NA,NA,15.1,"AAqual",2012-08-02,"VT","w","Olympic Games"
8,"Larisa Iordache","Romania",NA,NA,NA,14.1,"AAqual",2012-08-02,"UB","w","Olympic Games"
8,"Larisa Iordache","Romania",NA,NA,NA,14.8,"AAqual",2012-08-02,"BB","w","Olympic Games"
8,"Larisa Iordache","Romania",NA,NA,NA,57.8,"qual",2012-08-02,"AA","w","Olympic Games"
9,"Huang Qiushuang","China",NA,NA,NA,13.575,"AAqual",2012-08-02,"FX","w","Olympic Games"
9,"Huang Qiushuang","China",NA,NA,NA,15,"AAqual",2012-08-02,"VT","w","Olympic Games"
9,"Huang Qiushuang","China",NA,NA,NA,15.266,"AAqual",2012-08-02,"UB","w","Olympic Games"
9,"Huang Qiushuang","China",NA,NA,NA,13.866,"AAqual",2012-08-02,"BB","w","Olympic Games"
9,"Huang Qiushuang","China",NA,NA,NA,57.707,"qual",2012-08-02,"AA","w","Olympic Games"
10,"Sandra Izbașa","Romania",NA,NA,NA,15.066,"AAqual",2012-08-02,"FX","w","Olympic Games"
10,"Sandra Izbașa","Romania",NA,NA,NA,15.5,"AAqual",2012-08-02,"VT","w","Olympic Games"
10,"Sandra Izbașa","Romania",NA,NA,NA,12.366,"AAqual",2012-08-02,"UB","w","Olympic Games"
10,"Sandra Izbașa","Romania",NA,NA,NA,14.6,"AAqual",2012-08-02,"BB","w","Olympic Games"
10,"Sandra Izbașa","Romania",NA,NA,NA,57.532,"qual",2012-08-02,"AA","w","Olympic Games"
11,"Jessica López","Venezuela",NA,NA,NA,13.9,"AAqual",2012-08-02,"FX","w","Olympic Games"
11,"Jessica López","Venezuela",NA,NA,NA,14.566,"AAqual",2012-08-02,"VT","w","Olympic Games"
11,"Jessica López","Venezuela",NA,NA,NA,14.266,"AAqual",2012-08-02,"UB","w","Olympic Games"
11,"Jessica López","Venezuela",NA,NA,NA,13.933,"AAqual",2012-08-02,"BB","w","Olympic Games"
11,"Jessica López","Venezuela",NA,NA,NA,56.665,"qual",2012-08-02,"AA","w","Olympic Games"
12,"Elisabeth Seitz","Germany",NA,NA,NA,13.8,"AAqual",2012-08-02,"FX","w","Olympic Games"
12,"Elisabeth Seitz","Germany",NA,NA,NA,14.8,"AAqual",2012-08-02,"VT","w","Olympic Games"
12,"Elisabeth Seitz","Germany",NA,NA,NA,15.166,"AAqual",2012-08-02,"UB","w","Olympic Games"
12,"Elisabeth Seitz","Germany",NA,NA,NA,12.7,"AAqual",2012-08-02,"BB","w","Olympic Games"
12,"Elisabeth Seitz","Germany",NA,NA,NA,56.466,"qual",2012-08-02,"AA","w","Olympic Games"
13,"Rebecca Tunney","Great Britain",NA,NA,NA,14,"AAqual",2012-08-02,"FX","w","Olympic Games"
13,"Rebecca Tunney","Great Britain",NA,NA,NA,14.4,"AAqual",2012-08-02,"VT","w","Olympic Games"
13,"Rebecca Tunney","Great Britain",NA,NA,NA,14.825,"AAqual",2012-08-02,"UB","w","Olympic Games"
13,"Rebecca Tunney","Great Britain",NA,NA,NA,13.166,"AAqual",2012-08-02,"BB","w","Olympic Games"
13,"Rebecca Tunney","Great Britain",NA,NA,NA,56.391,"qual",2012-08-02,"AA","w","Olympic Games"
14,"Ana Sofía Gómez","Guatemala",NA,NA,NA,14,"AAqual",2012-08-02,"FX","w","Olympic Games"
14,"Ana Sofía Gómez","Guatemala",NA,NA,NA,14.533,"AAqual",2012-08-02,"VT","w","Olympic Games"
14,"Ana Sofía Gómez","Guatemala",NA,NA,NA,13.266,"AAqual",2012-08-02,"UB","w","Olympic Games"
14,"Ana Sofía Gómez","Guatemala",NA,NA,NA,14.333,"AAqual",2012-08-02,"BB","w","Olympic Games"
14,"Ana Sofía Gómez","Guatemala",NA,NA,NA,56.132,"qual",2012-08-02,"AA","w","Olympic Games"
15,"Hannah Whelan","Great Britain",NA,NA,NA,13.933,"AAqual",2012-08-02,"FX","w","Olympic Games"
15,"Hannah Whelan","Great Britain",NA,NA,NA,14.5,"AAqual",2012-08-02,"VT","w","Olympic Games"
15,"Hannah Whelan","Great Britain",NA,NA,NA,14.2,"AAqual",2012-08-02,"UB","w","Olympic Games"
15,"Hannah Whelan","Great Britain",NA,NA,NA,13.066,"AAqual",2012-08-02,"BB","w","Olympic Games"
15,"Hannah Whelan","Great Britain",NA,NA,NA,55.699,"qual",2012-08-02,"AA","w","Olympic Games"
16,"Dominique Pegg","Canada",NA,NA,NA,14.233,"AAqual",2012-08-02,"FX","w","Olympic Games"
16,"Dominique Pegg","Canada",NA,NA,NA,14.133,"AAqual",2012-08-02,"VT","w","Olympic Games"
16,"Dominique Pegg","Canada",NA,NA,NA,13.275,"AAqual",2012-08-02,"UB","w","Olympic Games"
16,"Dominique Pegg","Canada",NA,NA,NA,13.566,"AAqual",2012-08-02,"BB","w","Olympic Games"
16,"Dominique Pegg","Canada",NA,NA,NA,55.657,"qual",2012-08-02,"AA","w","Olympic Games"
17,"Céline van Gerner","Netherlands",NA,NA,NA,12.966,"AAqual",2012-08-02,"FX","w","Olympic Games"
17,"Céline van Gerner","Netherlands",NA,NA,NA,13.7,"AAqual",2012-08-02,"VT","w","Olympic Games"
17,"Céline van Gerner","Netherlands",NA,NA,NA,14.866,"AAqual",2012-08-02,"UB","w","Olympic Games"
17,"Céline van Gerner","Netherlands",NA,NA,NA,14.1,"AAqual",2012-08-02,"BB","w","Olympic Games"
17,"Céline van Gerner","Netherlands",NA,NA,NA,55.632,"qual",2012-08-02,"AA","w","Olympic Games"
18,"Carlotta Ferlito","Italy",NA,NA,NA,13.9,"AAqual",2012-08-02,"FX","w","Olympic Games"
18,"Carlotta Ferlito","Italy",NA,NA,NA,14.1,"AAqual",2012-08-02,"VT","w","Olympic Games"
18,"Carlotta Ferlito","Italy",NA,NA,NA,13.075,"AAqual",2012-08-02,"UB","w","Olympic Games"
18,"Carlotta Ferlito","Italy",NA,NA,NA,14.425,"AAqual",2012-08-02,"BB","w","Olympic Games"
18,"Carlotta Ferlito","Italy",NA,NA,NA,55.5,"qual",2012-08-02,"AA","w","Olympic Games"
19,"Giulia Steingruber","Switzerland",NA,NA,NA,12.9,"AAqual",2012-08-02,"FX","w","Olympic Games"
19,"Giulia Steingruber","Switzerland",NA,NA,NA,14.783,"AAqual",2012-08-02,"VT","w","Olympic Games"
19,"Giulia Steingruber","Switzerland",NA,NA,NA,13.266,"AAqual",2012-08-02,"UB","w","Olympic Games"
19,"Giulia Steingruber","Switzerland",NA,NA,NA,13.766,"AAqual",2012-08-02,"BB","w","Olympic Games"
19,"Giulia Steingruber","Switzerland",NA,NA,NA,54.715,"qual",2012-08-02,"AA","w","Olympic Games"
20,"Emily Little","Australia",NA,NA,NA,12.666,"AAqual",2012-08-02,"FX","w","Olympic Games"
20,"Emily Little","Australia",NA,NA,NA,14.766,"AAqual",2012-08-02,"VT","w","Olympic Games"
20,"Emily Little","Australia",NA,NA,NA,13.433,"AAqual",2012-08-02,"UB","w","Olympic Games"
20,"Emily Little","Australia",NA,NA,NA,13.633,"AAqual",2012-08-02,"BB","w","Olympic Games"
20,"Emily Little","Australia",NA,NA,NA,54.498,"qual",2012-08-02,"AA","w","Olympic Games"
21,"Aurélie Malaussena","France",NA,NA,NA,13.366,"AAqual",2012-08-02,"FX","w","Olympic Games"
21,"Aurélie Malaussena","France",NA,NA,NA,14.033,"AAqual",2012-08-02,"VT","w","Olympic Games"
21,"Aurélie Malaussena","France",NA,NA,NA,13.3,"AAqual",2012-08-02,"UB","w","Olympic Games"
21,"Aurélie Malaussena","France",NA,NA,NA,13.7,"AAqual",2012-08-02,"BB","w","Olympic Games"
21,"Aurélie Malaussena","France",NA,NA,NA,54.399,"qual",2012-08-02,"AA","w","Olympic Games"
22,"Marta Pihan-Kulesza","Poland",NA,NA,NA,14.333,"AAqual",2012-08-02,"FX","w","Olympic Games"
22,"Marta Pihan-Kulesza","Poland",NA,NA,NA,13.833,"AAqual",2012-08-02,"VT","w","Olympic Games"
22,"Marta Pihan-Kulesza","Poland",NA,NA,NA,14.033,"AAqual",2012-08-02,"UB","w","Olympic Games"
22,"Marta Pihan-Kulesza","Poland",NA,NA,NA,12.166,"AAqual",2012-08-02,"BB","w","Olympic Games"
22,"Marta Pihan-Kulesza","Poland",NA,NA,NA,54.365,"qual",2012-08-02,"AA","w","Olympic Games"
23,"Rie Tanaka","Japan",NA,NA,NA,13.3,"AAqual",2012-08-02,"FX","w","Olympic Games"
23,"Rie Tanaka","Japan",NA,NA,NA,13,"AAqual",2012-08-02,"VT","w","Olympic Games"
23,"Rie Tanaka","Japan",NA,NA,NA,14.633,"AAqual",2012-08-02,"UB","w","Olympic Games"
23,"Rie Tanaka","Japan",NA,NA,NA,13.4,"AAqual",2012-08-02,"BB","w","Olympic Games"
23,"Rie Tanaka","Japan",NA,NA,NA,54.333,"qual",2012-08-02,"AA","w","Olympic Games"
24,"Ashleigh Brennan","Australia",NA,NA,NA,14.2,"AAqual",2012-08-02,"FX","w","Olympic Games"
24,"Ashleigh Brennan","Australia",NA,NA,NA,13.7,"AAqual",2012-08-02,"VT","w","Olympic Games"
24,"Ashleigh Brennan","Australia",NA,NA,NA,13.266,"AAqual",2012-08-02,"UB","w","Olympic Games"
24,"Ashleigh Brennan","Australia",NA,NA,NA,13.066,"AAqual",2012-08-02,"BB","w","Olympic Games"
24,"Ashleigh Brennan","Australia",NA,NA,NA,54.232,"qual",2012-08-02,"AA","w","Olympic Games"
1,"Gabby Douglas","United States",NA,NA,NA,15.033,"AAfinal",2012-08-02,"FX","m","Olympic Games"
1,"Gabby Douglas","United States",NA,NA,NA,15.966,"AAfinal",2012-08-02,"VT","m","Olympic Games"
1,"Gabby Douglas","United States",NA,NA,NA,15.733,"AAfinal",2012-08-02,"UB","m","Olympic Games"
1,"Gabby Douglas","United States",NA,NA,NA,15.5,"AAfinal",2012-08-02,"BB","m","Olympic Games"
1,"Gabby Douglas","United States",NA,NA,NA,62.232,"final",2012-08-02,"AA","m","Olympic Games"
2,"Viktoria Komova","Russia",NA,NA,NA,15.1,"AAfinal",2012-08-02,"FX","m","Olympic Games"
2,"Viktoria Komova","Russia",NA,NA,NA,15.466,"AAfinal",2012-08-02,"VT","m","Olympic Games"
2,"Viktoria Komova","Russia",NA,NA,NA,15.966,"AAfinal",2012-08-02,"UB","m","Olympic Games"
2,"Viktoria Komova","Russia",NA,NA,NA,15.441,"AAfinal",2012-08-02,"BB","m","Olympic Games"
2,"Viktoria Komova","Russia",NA,NA,NA,61.973,"final",2012-08-02,"AA","m","Olympic Games"
NA,"Aliya Mustafina","Russia",NA,NA,NA,14.6,"AAfinal",2012-08-02,"FX","m","Olympic Games"
NA,"Aliya Mustafina","Russia",NA,NA,NA,15.233,"AAfinal",2012-08-02,"VT","m","Olympic Games"
NA,"Aliya Mustafina","Russia",NA,NA,NA,16.1,"AAfinal",2012-08-02,"UB","m","Olympic Games"
NA,"Aliya Mustafina","Russia",NA,NA,NA,13.633,"AAfinal",2012-08-02,"BB","m","Olympic Games"
NA,"Aliya Mustafina","Russia",NA,NA,NA,NA,"final",2012-08-02,"AA","m","Olympic Games"
NA,"Aly Raisman","United States",NA,NA,NA,15.133,"AAfinal",2012-08-02,"FX","m","Olympic Games"
NA,"Aly Raisman","United States",NA,NA,NA,15.9,"AAfinal",2012-08-02,"VT","m","Olympic Games"
NA,"Aly Raisman","United States",NA,NA,NA,14.333,"AAfinal",2012-08-02,"UB","m","Olympic Games"
NA,"Aly Raisman","United States",NA,NA,NA,14.2,"AAfinal",2012-08-02,"BB","m","Olympic Games"
NA,"Aly Raisman","United States",NA,NA,NA,NA,"final",2012-08-02,"AA","m","Olympic Games"
3,"Sandra Izbașa","Romania",NA,NA,NA,15.2,"AAfinal",2012-08-02,"FX","m","Olympic Games"
3,"Sandra Izbașa","Romania",NA,NA,NA,15.333,"AAfinal",2012-08-02,"VT","m","Olympic Games"
3,"Sandra Izbașa","Romania",NA,NA,NA,13.9,"AAfinal",2012-08-02,"UB","m","Olympic Games"
3,"Sandra Izbașa","Romania",NA,NA,NA,14.4,"AAfinal",2012-08-02,"BB","m","Olympic Games"
3,"Sandra Izbașa","Romania",NA,NA,NA,58.833,"final",2012-08-02,"AA","m","Olympic Games"
4,"Deng Linlin","China",NA,NA,NA,13.933,"AAfinal",2012-08-02,"FX","m","Olympic Games"
4,"Deng Linlin","China",NA,NA,NA,14.9,"AAfinal",2012-08-02,"VT","m","Olympic Games"
4,"Deng Linlin","China",NA,NA,NA,14.266,"AAfinal",2012-08-02,"UB","m","Olympic Games"
4,"Deng Linlin","China",NA,NA,NA,15.3,"AAfinal",2012-08-02,"BB","m","Olympic Games"
4,"Deng Linlin","China",NA,NA,NA,58.399,"final",2012-08-02,"AA","m","Olympic Games"
5,"Huang Qiushuang","China",NA,NA,NA,13.933,"AAfinal",2012-08-02,"FX","m","Olympic Games"
5,"Huang Qiushuang","China",NA,NA,NA,14.916,"AAfinal",2012-08-02,"VT","m","Olympic Games"
5,"Huang Qiushuang","China",NA,NA,NA,15.133,"AAfinal",2012-08-02,"UB","m","Olympic Games"
5,"Huang Qiushuang","China",NA,NA,NA,14.133,"AAfinal",2012-08-02,"BB","m","Olympic Games"
5,"Huang Qiushuang","China",NA,NA,NA,58.115,"final",2012-08-02,"AA","m","Olympic Games"
6,"Vanessa Ferrari","Italy",NA,NA,NA,14.866,"AAfinal",2012-08-02,"FX","m","Olympic Games"
6,"Vanessa Ferrari","Italy",NA,NA,NA,14.6,"AAfinal",2012-08-02,"VT","m","Olympic Games"
6,"Vanessa Ferrari","Italy",NA,NA,NA,14.033,"AAfinal",2012-08-02,"UB","m","Olympic Games"
6,"Vanessa Ferrari","Italy",NA,NA,NA,14.5,"AAfinal",2012-08-02,"BB","m","Olympic Games"
6,"Vanessa Ferrari","Italy",NA,NA,NA,57.999,"final",2012-08-02,"AA","m","Olympic Games"
7,"Larisa Iordache","Romania",NA,NA,NA,13.833,"AAfinal",2012-08-02,"FX","m","Olympic Games"
7,"Larisa Iordache","Romania",NA,NA,NA,14.933,"AAfinal",2012-08-02,"VT","m","Olympic Games"
7,"Larisa Iordache","Romania",NA,NA,NA,14.233,"AAfinal",2012-08-02,"UB","m","Olympic Games"
7,"Larisa Iordache","Romania",NA,NA,NA,14.966,"AAfinal",2012-08-02,"BB","m","Olympic Games"
7,"Larisa Iordache","Romania",NA,NA,NA,57.965,"final",2012-08-02,"AA","m","Olympic Games"
8,"Elisabeth Seitz","Germany",NA,NA,NA,13.633,"AAfinal",2012-08-02,"FX","m","Olympic Games"
8,"Elisabeth Seitz","Germany",NA,NA,NA,14.766,"AAfinal",2012-08-02,"VT","m","Olympic Games"
8,"Elisabeth Seitz","Germany",NA,NA,NA,15.166,"AAfinal",2012-08-02,"UB","m","Olympic Games"
8,"Elisabeth Seitz","Germany",NA,NA,NA,13.8,"AAfinal",2012-08-02,"BB","m","Olympic Games"
8,"Elisabeth Seitz","Germany",NA,NA,NA,57.365,"final",2012-08-02,"AA","m","Olympic Games"
9,"Asuka Teramoto","Japan",NA,NA,NA,13.966,"AAfinal",2012-08-02,"FX","m","Olympic Games"
9,"Asuka Teramoto","Japan",NA,NA,NA,14.766,"AAfinal",2012-08-02,"VT","m","Olympic Games"
9,"Asuka Teramoto","Japan",NA,NA,NA,14.3,"AAfinal",2012-08-02,"UB","m","Olympic Games"
9,"Asuka Teramoto","Japan",NA,NA,NA,14.3,"AAfinal",2012-08-02,"BB","m","Olympic Games"
9,"Asuka Teramoto","Japan",NA,NA,NA,57.332,"final",2012-08-02,"AA","m","Olympic Games"
10,"Céline van Gerner","Netherlands",NA,NA,NA,14,"AAfinal",2012-08-02,"FX","m","Olympic Games"
10,"Céline van Gerner","Netherlands",NA,NA,NA,14.133,"AAfinal",2012-08-02,"VT","m","Olympic Games"
10,"Céline van Gerner","Netherlands",NA,NA,NA,14.966,"AAfinal",2012-08-02,"UB","m","Olympic Games"
10,"Céline van Gerner","Netherlands",NA,NA,NA,14.133,"AAfinal",2012-08-02,"BB","m","Olympic Games"
10,"Céline van Gerner","Netherlands",NA,NA,NA,57.226,"final",2012-08-02,"AA","m","Olympic Games"
11,"Rebecca Tunney","United Kingdom",NA,NA,NA,13.933,"AAfinal",2012-08-02,"FX","m","Olympic Games"
11,"Rebecca Tunney","United Kingdom",NA,NA,NA,14.866,"AAfinal",2012-08-02,"VT","m","Olympic Games"
11,"Rebecca Tunney","United Kingdom",NA,NA,NA,15,"AAfinal",2012-08-02,"UB","m","Olympic Games"
11,"Rebecca Tunney","United Kingdom",NA,NA,NA,13.133,"AAfinal",2012-08-02,"BB","m","Olympic Games"
11,"Rebecca Tunney","United Kingdom",NA,NA,NA,56.392,"final",2012-08-02,"AA","m","Olympic Games"
12,"Giulia Steingruber","Switzerland",NA,NA,NA,13.266,"AAfinal",2012-08-02,"FX","m","Olympic Games"
12,"Giulia Steingruber","Switzerland",NA,NA,NA,15.116,"AAfinal",2012-08-02,"VT","m","Olympic Games"
12,"Giulia Steingruber","Switzerland",NA,NA,NA,13.6,"AAfinal",2012-08-02,"UB","m","Olympic Games"
12,"Giulia Steingruber","Switzerland",NA,NA,NA,14.166,"AAfinal",2012-08-02,"BB","m","Olympic Games"
12,"Giulia Steingruber","Switzerland",NA,NA,NA,56.148,"final",2012-08-02,"AA","m","Olympic Games"
13,"Emily Little","Australia",NA,NA,NA,13.3,"AAfinal",2012-08-02,"FX","m","Olympic Games"
13,"Emily Little","Australia",NA,NA,NA,14.866,"AAfinal",2012-08-02,"VT","m","Olympic Games"
13,"Emily Little","Australia",NA,NA,NA,13.933,"AAfinal",2012-08-02,"UB","m","Olympic Games"
13,"Emily Little","Australia",NA,NA,NA,13.666,"AAfinal",2012-08-02,"BB","m","Olympic Games"
13,"Emily Little","Australia",NA,NA,NA,55.765,"final",2012-08-02,"AA","m","Olympic Games"
14,"Rie Tanaka","Japan",NA,NA,NA,13.266,"AAfinal",2012-08-02,"FX","m","Olympic Games"
14,"Rie Tanaka","Japan",NA,NA,NA,14.166,"AAfinal",2012-08-02,"VT","m","Olympic Games"
14,"Rie Tanaka","Japan",NA,NA,NA,14.5,"AAfinal",2012-08-02,"UB","m","Olympic Games"
14,"Rie Tanaka","Japan",NA,NA,NA,13.7,"AAfinal",2012-08-02,"BB","m","Olympic Games"
14,"Rie Tanaka","Japan",NA,NA,NA,55.632,"final",2012-08-02,"AA","m","Olympic Games"
15,"Dominique Pegg","Canada",NA,NA,NA,14.033,"AAfinal",2012-08-02,"FX","m","Olympic Games"
15,"Dominique Pegg","Canada",NA,NA,NA,14.566,"AAfinal",2012-08-02,"VT","m","Olympic Games"
15,"Dominique Pegg","Canada",NA,NA,NA,13.8,"AAfinal",2012-08-02,"UB","m","Olympic Games"
15,"Dominique Pegg","Canada",NA,NA,NA,13.166,"AAfinal",2012-08-02,"BB","m","Olympic Games"
15,"Dominique Pegg","Canada",NA,NA,NA,55.565,"final",2012-08-02,"AA","m","Olympic Games"
16,"Jessica López","Venezuela",NA,NA,NA,13.8,"AAfinal",2012-08-02,"FX","m","Olympic Games"
16,"Jessica López","Venezuela",NA,NA,NA,14.8,"AAfinal",2012-08-02,"VT","m","Olympic Games"
16,"Jessica López","Venezuela",NA,NA,NA,13.9,"AAfinal",2012-08-02,"UB","m","Olympic Games"
16,"Jessica López","Venezuela",NA,NA,NA,13,"AAfinal",2012-08-02,"BB","m","Olympic Games"
16,"Jessica López","Venezuela",NA,NA,NA,55.5,"final",2012-08-02,"AA","m","Olympic Games"
17,"Marta Pihan-Kulesza","Poland",NA,NA,NA,14.266,"AAfinal",2012-08-02,"FX","m","Olympic Games"
17,"Marta Pihan-Kulesza","Poland",NA,NA,NA,13.933,"AAfinal",2012-08-02,"VT","m","Olympic Games"
17,"Marta Pihan-Kulesza","Poland",NA,NA,NA,14.333,"AAfinal",2012-08-02,"UB","m","Olympic Games"
17,"Marta Pihan-Kulesza","Poland",NA,NA,NA,12.933,"AAfinal",2012-08-02,"BB","m","Olympic Games"
17,"Marta Pihan-Kulesza","Poland",NA,NA,NA,55.465,"final",2012-08-02,"AA","m","Olympic Games"
