"Rank","Name","Country","D_Score","E_Score","Penalty","Score","Round","Date","Apparatus","Gender","Competition"
8,"Alexander Shatilov","Israel",6.6,7.925,0.4,14.125,"final",2008-08-01,"FX","m","Olympic Games"
1,"Diego Hypólito","Brazil",6.6,9.35,NA,15.95,"final",2008-08-01,"FX","m","Olympic Games"
2,"Marian Drăgulescu","Romania",6.9,9.025,NA,15.925,"final",2008-08-01,"FX","m","Olympic Games"
3,"Gervasio Deferr","Spain",6.5,9.325,NA,15.825,"final",2008-08-01,"FX","m","Olympic Games"
4,"Fabian Hambuechen","Germany",6.5,9.3,NA,15.8,"final",2008-08-01,"FX","m","Olympic Games"
5,"Kōhei Uchimura","Japan",6.5,9.225,NA,15.725,"final",2008-08-01,"FX","m","Olympic Games"
6,"Zou Kai","China",6.7,9.1,0.1,15.7,"final",2008-08-01,"FX","m","Olympic Games"
7,"Anton Golotsutskov","Russia",6.5,9.1,NA,15.6,"final",2008-08-01,"FX","m","Olympic Games"
7,"Alexander Shatilov","Israel",6.6,9,NA,15.6,"final",2008-08-01,"FX","m","Olympic Games"
1,"Sandra Izbașa","Romania",6.5,9.15,NA,15.65,"final",2008-08-01,"FX","w","Olympic Games"
2,"Shawn Johnson","United States",6.4,9.1,NA,15.5,"final",2008-08-01,"FX","w","Olympic Games"
3,"Nastia Liukin","United States",6.2,9.225,NA,15.425,"final",2008-08-01,"FX","w","Olympic Games"
4,"Jiang Yuyuan","China",6.3,9.05,NA,15.35,"final",2008-08-01,"FX","w","Olympic Games"
5,"Ekaterina Kramarenko","Russia",6.1,8.925,NA,15.025,"final",2008-08-01,"FX","w","Olympic Games"
6,"Daiane dos Santos","Brazil",6.4,8.775,0.2,14.975,"final",2008-08-01,"FX","w","Olympic Games"
7,"Cheng Fei","China",6.3,8.25,NA,14.55,"final",2008-08-01,"FX","w","Olympic Games"
8,"Anna Pavlova","Russia",5.8,8.325,NA,14.125,"final",2008-08-01,"FX","w","Olympic Games"
1,"Cheng Fei","China",6.6,9.15,NA,15.75,"qual",2008-08-01,"FX","w","Olympic Games"
2,"Sandra Izbaşa","Romania",6.5,8.975,NA,15.475,"qual",2008-08-01,"FX","w","Olympic Games"
3,"Shawn Johnson","United States",6.3,9.125,NA,15.425,"qual",2008-08-01,"FX","w","Olympic Games"
4,"Nastia Liukin","United States",6.2,9.15,NA,15.35,"qual",2008-08-01,"FX","w","Olympic Games"
5,"Daiane dos Santos","Brazil",6.4,8.975,0.1,15.275,"qual",2008-08-01,"FX","w","Olympic Games"
6,"Ekaterina Kramarenko","Russia",6.1,9.05,NA,15.15,"qual",2008-08-01,"FX","w","Olympic Games"
7,"Anna Pavlova","Russia",5.9,9.225,NA,15.125,"qual",2008-08-01,"FX","w","Olympic Games"
8,"Jiang Yuyuan","China",6.2,8.85,NA,15.05,"qual",2008-08-01,"FX","w","Olympic Games"
1,"Xiao Qin","China",6.4,9.475,NA,15.875,"final",2008-08-17,"PH","m","Olympic Games"
2,"Filip Ude","Croatia",6.4,9.325,NA,15.725,"final",2008-08-17,"PH","m","Olympic Games"
2,"Louis Smith","Great Britain",6.7,9.025,NA,15.725,"final",2008-08-17,"PH","m","Olympic Games"
4,"Yang Wei","China",6.2,9.25,NA,15.45,"final",2008-08-17,"PH","m","Olympic Games"
5,"Hiroyuki Tomita","Japan",6.1,9.275,NA,15.375,"final",2008-08-17,"PH","m","Olympic Games"
6,"Kim Ji-Hoon","South Korea",6.1,9.075,NA,15.175,"final",2008-08-17,"PH","m","Olympic Games"
7,"Alexander Artemev","United States",6.3,8.675,NA,14.975,"final",2008-08-17,"PH","m","Olympic Games"
8,"José Luis Fuentes","Venezuela",6.3,8.35,NA,14.65,"final",2008-08-17,"PH","m","Olympic Games"
1,"Chen Yibing","China",7.3,9.3,NA,16.6,"final",2008-08-18,"SR","m","Olympic Games"
2,"Yang Wei","China",7.5,8.925,NA,16.425,"final",2008-08-18,"SR","m","Olympic Games"
3,"Oleksandr Vorobiov","Ukraine",7.2,9.125,NA,16.325,"final",2008-08-18,"SR","m","Olympic Games"
4,"Andrea Coppolino","Italy",7.1,9.125,NA,16.225,"final",2008-08-18,"SR","m","Olympic Games"
4,"Danny Pinheiro Rodrigues","France",7.5,8.725,NA,16.225,"final",2008-08-18,"SR","m","Olympic Games"
6,"Matteo Morandi","Italy",7.1,9.1,NA,16.2,"final",2008-08-18,"SR","m","Olympic Games"
7,"Robert Stanescu","Romania",7,8.825,NA,15.825,"final",2008-08-18,"SR","m","Olympic Games"
8,"Yordan Yovchev","Bulgaria",6.8,8.725,NA,15.525,"final",2008-08-18,"SR","m","Olympic Games"
1,"Li Xiaopeng","China",6.9,9.55,NA,16.45,"final",2008-08-19,"PB","m","Olympic Games"
2,"Yoo Won-Chul","South Korea",7,9.25,NA,16.25,"final",2008-08-19,"PB","m","Olympic Games"
3,"Anton Fokin","Uzbekistan",6.8,9.4,NA,16.2,"final",2008-08-19,"PB","m","Olympic Games"
4,"Fabian Hambüchen","Germany",6.9,9.075,NA,15.975,"final",2008-08-19,"PB","m","Olympic Games"
5,"Mitja Petkovšek","Slovenia",6.8,8.925,NA,15.725,"final",2008-08-19,"PB","m","Olympic Games"
6,"Huang Xu","China",7,8.7,NA,15.7,"final",2008-08-19,"PB","m","Olympic Games"
7,"Yang Tae-Young","South Korea",7,8.65,NA,15.65,"final",2008-08-19,"PB","m","Olympic Games"
8,"Nikolay Kryukov","Russia",6.7,8.45,NA,15.15,"final",2008-08-19,"PB","m","Olympic Games"
1,"Zou Kai","China",7.2,9,NA,16.2,"final",2008-08-19,"HB","m","Olympic Games"
2,"Jonathan Horton","United States",6.9,9.275,NA,16.175,"final",2008-08-19,"HB","m","Olympic Games"
3,"Fabian Hambüchen","Germany",6.8,9.075,NA,15.875,"final",2008-08-19,"HB","m","Olympic Games"
4,"Igor Cassina","Italy",6.6,9.075,NA,15.675,"final",2008-08-19,"HB","m","Olympic Games"
5,"Takuya Nakase","Japan",6.6,8.85,NA,15.45,"final",2008-08-19,"HB","m","Olympic Games"
6,"Hiroyuki Tomita","Japan",6.6,8.625,NA,15.225,"final",2008-08-19,"HB","m","Olympic Games"
7,"Epke Zonderland","Netherlands",6.5,8.5,NA,15,"final",2008-08-19,"HB","m","Olympic Games"
8,"Yann Cucherat","France",6.5,8.325,NA,14.825,"final",2008-08-19,"HB","m","Olympic Games"
1,"He Kexin","China",7.7,9.025,NA,16.725,"final",2008-08-01,"UB","w","Olympic Games"
1,"Nastia Liukin","United States",7.7,9.025,NA,16.725,"final",2008-08-01,"UB","w","Olympic Games"
3,"Yang Yilin","China",7.7,8.95,NA,16.65,"final",2008-08-01,"UB","w","Olympic Games"
4,"Beth Tweddle","Great Britain",7.8,8.825,NA,16.625,"final",2008-08-01,"UB","w","Olympic Games"
5,"Anastasia Koval","Ukraine",7.3,9.075,NA,16.375,"final",2008-08-01,"UB","w","Olympic Games"
6,"Ksenia Semenova","Russia",7.4,8.925,NA,16.325,"final",2008-08-01,"UB","w","Olympic Games"
7,"Steliana Nistor","Romania",7,8.575,NA,15.575,"final",2008-08-01,"UB","w","Olympic Games"
8,"Dariya Zgoba","Ukraine",7.1,7.875,0.1,14.875,"final",2008-08-01,"UB","w","Olympic Games"
1,"Yang Yilin","China",7.7,8.95,NA,16.65,"qual",2008-08-01,"UB","w","Olympic Games"
2,"Ksenia Semenova","Russia",7.4,9.075,NA,16.475,"qual",2008-08-01,"UB","w","Olympic Games"
3,"Anastasia Koval","Ukraine",7.3,9.025,NA,16.325,"qual",2008-08-01,"UB","w","Olympic Games"
4,"Steliana Nistor","Romania",7.3,8.675,NA,15.975,"qual",2008-08-01,"UB","w","Olympic Games"
5,"Nastia Liukin","United States",7.7,8.25,NA,15.95,"qual",2008-08-01,"UB","w","Olympic Games"
6,"He Kexin","China",7.5,8.225,NA,15.725,"qual",2008-08-01,"UB","w","Olympic Games"
7,"Dariya Zgoba","Ukraine",6.9,8.875,0.1,15.675,"qual",2008-08-01,"UB","w","Olympic Games"
8,"Beth Tweddle","United Kingdom",7.6,8.05,NA,15.65,"qual",2008-08-01,"UB","w","Olympic Games"
1,"Shawn Johnson","United States",7,9.225,NA,16.225,"final",2008-08-01,"BB","w","Olympic Games"
2,"Nastia Liukin","United States",6.6,9.425,NA,16.025,"final",2008-08-01,"BB","w","Olympic Games"
3,"Cheng Fei","China",6.8,9.15,NA,15.95,"final",2008-08-01,"BB","w","Olympic Games"
4,"Anna Pavlova","Russia",6.8,9.1,NA,15.9,"final",2008-08-01,"BB","w","Olympic Games"
5,"Gabriela Drăgoi","Romania",6.5,9.125,NA,15.625,"final",2008-08-01,"BB","w","Olympic Games"
6,"Li Shanshan","China",7,8.3,NA,15.3,"final",2008-08-01,"BB","w","Olympic Games"
7,"Ksenia Afanasyeva","Russia",5.8,9.025,NA,14.825,"final",2008-08-01,"BB","w","Olympic Games"
8,"Koko Tsurumi","Japan",6.3,8.15,NA,14.45,"final",2008-08-01,"BB","w","Olympic Games"
1,"Li Shanshan","China",7,9.125,NA,16.125,"qual",2008-08-01,"BB","w","Olympic Games"
2,"Nastia Liukin","United States",6.6,9.375,NA,15.975,"qual",2008-08-01,"BB","w","Olympic Games"
3,"Shawn Johnson","United States",6.9,9.075,NA,15.975,"qual",2008-08-01,"BB","w","Olympic Games"
4,"Cheng Fei","China",6.7,9.275,0.1,15.875,"qual",2008-08-01,"BB","w","Olympic Games"
5,"Anna Pavlova","Russia",6.7,9.125,NA,15.825,"qual",2008-08-01,"BB","w","Olympic Games"
6,"Ksenia Afanasyeva","Russia",6.6,9.175,NA,15.775,"qual",2008-08-01,"BB","w","Olympic Games"
7,"Gabriela Drăgoi","Romania",6.5,8.95,NA,15.45,"qual",2008-08-01,"BB","w","Olympic Games"
8,"Koko Tsurumi","Japan",6.5,8.925,NA,15.425,"qual",2008-08-01,"BB","w","Olympic Games"
1,"Denis Ablyazin","Russia",7,9.3,NA,16.3,"qual",2012-07-28,"VT1","m","Olympic Games"
1,"Denis Ablyazin","Russia",7.2,9.233,NA,16.433,"qual",2012-07-28,"VT2","m","Olympic Games"
2,"Yang Hak-seon","South Korea",7,9.233,NA,16.233,"qual",2012-07-28,"VT1","m","Olympic Games"
2,"Yang Hak-seon","South Korea",7,9.433,NA,16.433,"qual",2012-07-28,"VT2","m","Olympic Games"
3,"Tomás González","Chile",7,9.433,NA,16.433,"qual",2012-07-28,"VT1","m","Olympic Games"
3,"Tomás González","Chile",6.6,9.366,0.1,15.866,"qual",2012-07-28,"VT2","m","Olympic Games"
4,"Sam Mikulak","United States",7,9.3,NA,16.3,"qual",2012-07-28,"VT1","m","Olympic Games"
4,"Sam Mikulak","United States",6.6,9.266,NA,15.866,"qual",2012-07-28,"VT2","m","Olympic Games"
5,"Kristian Thomas","United Kingdom",7,9.3,0.1,16.2,"qual",2012-07-28,"VT1","m","Olympic Games"
5,"Kristian Thomas","United Kingdom",6.6,9.166,NA,15.766,"qual",2012-07-28,"VT2","m","Olympic Games"
6,"Flavius Koczi",NA,7,9.166,0.1,16.066,"qual",2012-07-28,"VT1","m","Olympic Games"
6,"Flavius Koczi",NA,7,8.933,0.1,15.833,"qual",2012-07-28,"VT2","m","Olympic Games"
7,"Isaac Botella","Spain",6.6,9.266,NA,15.866,"qual",2012-07-28,"VT1","m","Olympic Games"
7,"Isaac Botella","Spain",6.6,9.2,NA,15.8,"qual",2012-07-28,"VT2","m","Olympic Games"
